"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/10/2023","AQS","130890002","2","59.6","ppb","56","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/11/2023","AQS","130890002","2","25.9","ppb","24","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/12/2023","AQS","130890002","2","8","ppb","8","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/13/2023","AQS","130890002","2","43.7","ppb","41","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/14/2023","AQS","130890002","2","30.4","ppb","28","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/15/2023","AQS","130890002","2","33.1","ppb","31","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/16/2023","AQS","130890002","2","15.7","ppb","14","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/17/2023","AQS","130890002","2","5","ppb","5","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/18/2023","AQS","130890002","2","28.7","ppb","26","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/19/2023","AQS","130890002","2","32.9","ppb","30","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/20/2023","AQS","130890002","2","31","ppb","29","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/21/2023","AQS","130890002","2","20.1","ppb","19","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/22/2023","AQS","130890002","2","13.7","ppb","12","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/23/2023","AQS","130890002","2","15.8","ppb","14","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/24/2023","AQS","130890002","2","18.2","ppb","17","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/25/2023","AQS","130890002","2","12.9","ppb","11","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/26/2023","AQS","130890002","2","15.4","ppb","14","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/27/2023","AQS","130890002","2","12.1","ppb","11","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"02/28/2023","AQS","130890002","2","49.3","ppb","46","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/01/2023","AQS","130890002","2","33","ppb","31","South DeKalb","23","96.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/02/2023","AQS","130890002","2","17.6","ppb","16","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/03/2023","AQS","130890002","2","10.4","ppb","9","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/04/2023","AQS","130890002","2","21.4","ppb","20","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/05/2023","AQS","130890002","2","35","ppb","33","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/06/2023","AQS","130890002","2","42.8","ppb","40","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/07/2023","AQS","130890002","2","30.2","ppb","28","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/08/2023","AQS","130890002","2","37.1","ppb","35","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/09/2023","AQS","130890002","2","32.2","ppb","30","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/10/2023","AQS","130890002","2","24.3","ppb","23","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/11/2023","AQS","130890002","2","27.1","ppb","25","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/12/2023","AQS","130890002","2","20","ppb","19","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/13/2023","AQS","130890002","2","11.6","ppb","10","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/14/2023","AQS","130890002","2","10.9","ppb","9","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/15/2023","AQS","130890002","2","44.5","ppb","42","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/16/2023","AQS","130890002","2","32.2","ppb","30","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/17/2023","AQS","130890002","2","13.5","ppb","12","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/18/2023","AQS","130890002","2","5","ppb","5","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/19/2023","AQS","130890002","2","6.3","ppb","6","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/20/2023","AQS","130890002","2","42.5","ppb","40","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/21/2023","AQS","130890002","2","39.5","ppb","37","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/22/2023","AQS","130890002","2","36","ppb","34","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/23/2023","AQS","130890002","2","38.6","ppb","36","South DeKalb","18","75.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/24/2023","AQS","130890002","2","35.4","ppb","33","South DeKalb","19","79.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/25/2023","AQS","130890002","2","29.4","ppb","27","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
"03/26/2023","AQS","130890002","2","27.6","ppb","25","South DeKalb","24","100.0000","42602","Nitrogen dioxide (NO2)","256","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","089","DeKalb","33.6878000008711","-84.2905"
